Language Name,GPS N,GPS E,ISO,Stage,Work Location,Partners,US BPPP Partners?,Cross-Border,Prefecture,Scripture Access Plan,No. of Speakers,Lg. Family,"""Branche""",Related To,LSP Trans. Need,EGIDS,Survey,Anthro,Dialect Research,Word List,Interlin. Texts,Précis d'ortho.,ILA approuvé?,Phonology,Gramm.,Dico.,Disc.,Trans. Lit.,Basic Lit.,JESUS Film,Trauma Healing,% OT/NT drafted,Scripture Pub.,Scripture Recorded,DBL?,Team Start,SIL Contact,Coordinator,Coord. Ed.,Team Member 2,Team Member 2 Ed.,Team Member 3,Team Member 3 Ed.,Team Member 4,Team Member 4 Ed.,Lg. Location,Notes,Needs,,
Mbangi,4.956767,21.373981,mgn,unengaged,,,Y,No,,,2750,"Ubangi, Ngbandi",Ngbandi,"""High intelligibility of Yakoma [yky]. May be intelligible of Ngbandi [ngb] (NT, 1988) or Dendi [deq]."" (Eth.) EM: May be clustered with Yakoma [yky] (TH group in CAR) and/or Ngbandi-Nord [nga] (DRC).","""Likely need""",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngombe,3.993202,15.127023,nmj,unengaged,,,Y,No,,Adapt Kako [kkj]? Or Gbaya SW [gso]? Or Bhogoto [bdt]?,11600,"Ubangi, Gbaya-Manza-Ngbaka",Gbaya,"May be intelligible of Southwest Gbaya [gso], Bofi [bff], Bokoto [bdt], and Bangandu [ngd]. Perhaps also Kako [kkj] which has lots of materials. A member of macrolanguage Gbaya [gba].","""Likely need""",6a (Vigorous),"""English Abstract Ngombe of CAR"" (short), Syssa & Pagbanda (2012)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Could possibly be served by Kako [kkj] (Cameroon)which has lots of materials, among others. Great potential for use or adaptation of materials in related languages.",,,
Pande,,,bkj,unengaged,,,Y,No,,,8870,"Bantu, C.12",Ngbaka,None,"""Likely need""",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,Annette Harrison,,,,,,,,,,,,,
Sara Kaba,10.353563,23.196451,sbz,unengaged,,,Y,No,,,13600,"Central Sudanic, Sara Kaba",Sara,"May be intelligible of Sara Kaba Náà [kwv]. The other 3 lgs. in this family are in Chad. ""Sara Kaba Náà [kwv] may be the same as Sara Kaba [sbz] of Central African Republic."" (Eth 2018)","""Likely need""",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukhwejo,2.929513,16.162106,ukh,unengaged,,,Y,No,,,2000,Bantu A,Ngbaka,"Mpiemo [mcx], Koonzime[ozm], Bomwali [bmw], and Makaa [mcp].","""Likely need""",6a (Vigorous),,,,,,,,See Keith Beavon.,,,,,,,,,,,,,"Keith Beavon, Christina Thornell",,,,,,,,,,K. Beavon did Phonology writeup. Population threatened by sleeping sickness.,,,
Vale,7.500420,18.550199,vae,unengaged,,,Y,No,,,5400,"Central Sudanic, Sara, Vale",Sara Valé,Not intelligible of Sara Kaba Náà [kwv] or Ngambay[sba]. One of 2 in the lg. family with Lutos [ndy].,"""Likely need""",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yulu,8.857944,22.812179,yul,unengaged,,,Y,"Sudan, South Sudan",,,13000,"Central Sudanic, Kara",,None,"""Likely need""",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banda-Banda,4.845156,18.857794,bpd,unengaged,,,Y,South Sudan,,,102,"Ubangi, Banda, Central Core",Banda,May be intelligible with Banda-Bambari/Linda [liy],"""Unlikely need""",6a (Vigorous),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banda-Yangere,3.922251,16.513240,yaj,unengaged,,,Y,No,,,26500,"Ubangi, Banda, Central, Western",Banda,"Banda-Linda [liy], Banda-Ndélé [bfl], Banda, Togbo-Vara [tor], Hai (unknown ISO) and Gbambia (unknown ISO).","""Unlikely need""",6a (Vigorous),"Moehama, 1995, ""Unlikely need""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Presence of at least one mosque among the Banda-Yangere, perhaps only foreigners who marry local women who then convert.",,,
Bofi,3.871101,17.098745,bff,unengaged,,,Y,No,,,23500,"Ubangi, Gbaya-Manza-Ngbaka",Gbaya,"Ali [aiy], Mandja [mzv], Ngbaka Manza [ngg]. A member of macrolanguage Gbaya [gba].","""Unlikely need""",6a (Vigorous),"Moehama, 1994, ""unlikely translation need""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mbati,3.835442,17.620945,mdn,unengaged,,,Y,no,,,60,"Bantu, Northwest C, Ngondi",Ngbaka,---,"""Unlikely need""",6a (Vigorous),"Bister, 1995 and 2011 ""Unlikely translation need""/""Deuxième priorité""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Please send corrections and updates to Elizabeth_Marti@sil.org.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"What CAR project is this referring to?  (External Relations section, Active, tertiary involvment)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ver. May 2018,,,,,,"What DRC project is this? (Kin advancement? (DRC Operations, Active, No involvement)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row colors correspond to the work stage (column E).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSP Questions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Njebi,,,,,,"Yakoma [yky], Ngbandi [ngb], Dendi [deq] and Mbangi [mgn]. And could they all use Sango? Or be adapted from Sango??",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanyok ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Check GRN for CAR recordings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
